province;red;green;blue;name;x
77;77;0;0;PROV77;
78;78;0;0;PROV78;
79;79;0;0;PROV79;
80;80;0;0;PROV80;
81;81;0;0;PROV81;
82;82;0;0;PROV82;
83;83;0;0;PROV83;
84;84;0;0;PROV84;
85;85;0;0;PROV85;
86;86;0;0;PROV86;
87;87;0;0;PROV87;
88;88;0;0;PROV88;
89;89;0;0;PROV89;
90;90;0;0;PROV90;
91;91;0;0;PROV91;
92;92;0;0;PROV92;
93;93;0;0;PROV93;
94;94;0;0;PROV94;
95;95;0;0;PROV95;
96;96;0;0;PROV96;
97;97;0;0;PROV97;
98;98;0;0;PROV98;
99;99;0;0;PROV99;
100;100;0;0;PROV100;
101;101;0;0;PROV101;
102;102;0;0;PROV102;
103;103;0;0;PROV103;
104;104;0;0;PROV104;
105;105;0;0;PROV105;
106;106;0;0;PROV106;
107;107;0;0;PROV107;
108;108;0;0;PROV108;
109;109;0;0;PROV109;
110;110;0;0;PROV110;
111;111;0;0;PROV111;
112;112;0;0;PROV112;
113;113;0;0;PROV113;
114;114;0;0;PROV114;
115;115;0;0;PROV115;
116;116;0;0;PROV116;
117;117;0;0;PROV117;
118;118;0;0;PROV118;
119;119;0;0;PROV119;
120;120;0;0;PROV120;
121;121;0;0;PROV121;
122;122;0;0;PROV122;
123;123;0;0;PROV123;
124;124;0;0;PROV124;
125;125;0;0;PROV125;
126;126;0;0;PROV126;
127;127;0;0;PROV127;
128;128;0;0;PROV128;
129;129;0;0;PROV129;
130;130;0;0;PROV130;
131;131;0;0;PROV131;
132;132;0;0;PROV132;
133;133;0;0;PROV133;
134;134;0;0;PROV134;
135;135;0;0;PROV135;
136;136;0;0;PROV136;
137;137;0;0;PROV137;
138;138;0;0;PROV138;
139;139;0;0;PROV139;
140;140;0;0;PROV140;
141;141;0;0;PROV141;
142;142;0;0;PROV142;
143;143;0;0;PROV143;
144;144;0;0;PROV144;
145;145;0;0;PROV145;
146;146;0;0;PROV146;
147;147;0;0;PROV147;
148;148;0;0;PROV148;
149;149;0;0;PROV149;
150;150;0;0;PROV150;
151;151;0;0;PROV151;
152;152;0;0;PROV152;
153;153;0;0;PROV153;
154;154;0;0;PROV154;
155;155;0;0;PROV155;
156;156;0;0;PROV156;
157;157;0;0;PROV157;
158;158;0;0;PROV158;
159;159;0;0;PROV159;
160;160;0;0;PROV160;
161;161;0;0;PROV161;
162;162;0;0;PROV162;
163;163;0;0;PROV163;
164;164;0;0;PROV164;
165;165;0;0;PROV165;
166;166;0;0;PROV166;
167;167;0;0;PROV167;
168;168;0;0;PROV168;
169;169;0;0;PROV169;
170;170;0;0;PROV170;
171;171;0;0;PROV171;
172;172;0;0;PROV172;
173;173;0;0;PROV173;
174;174;0;0;PROV174;
175;175;0;0;PROV175;
176;176;0;0;PROV176;
177;177;0;0;PROV177;
178;178;0;0;PROV178;
179;179;0;0;PROV179;
180;180;0;0;PROV180;
181;181;0;0;PROV181;
182;182;0;0;PROV182;
183;183;0;0;PROV183;
184;184;0;0;PROV184;
185;185;0;0;PROV185;
186;186;0;0;PROV186;
187;187;0;0;PROV187;
188;188;0;0;PROV188;
189;189;0;0;PROV189;
190;190;0;0;PROV190;
191;191;0;0;PROV191;
192;192;0;0;PROV192;
193;193;0;0;PROV193;
194;194;0;0;PROV194;
195;195;0;0;PROV195;
196;196;0;0;PROV196;
197;197;0;0;PROV197;
198;198;0;0;PROV198;
199;199;0;0;PROV199;
200;200;0;0;PROV200;
201;201;0;0;PROV201;
202;202;0;0;PROV202;
203;203;0;0;PROV203;
204;204;0;0;PROV204;
205;205;0;0;PROV205;
206;206;0;0;PROV206;
207;207;0;0;PROV207;
208;208;0;0;PROV208;
209;209;0;0;PROV209;
210;210;0;0;PROV210;
211;211;0;0;PROV211;
212;212;0;0;PROV212;
213;213;0;0;PROV213;
214;214;0;0;PROV214;
215;215;0;0;PROV215;
216;216;0;0;PROV216;
217;217;0;0;PROV217;
218;218;0;0;PROV218;
219;219;0;0;PROV219;
220;220;0;0;PROV220;
221;221;0;0;PROV221;
222;222;0;0;PROV222;
223;223;0;0;PROV223;
224;224;0;0;PROV224;
225;225;0;0;PROV225;
226;226;0;0;PROV226;
227;227;0;0;PROV227;
228;228;0;0;PROV228;
229;229;0;0;PROV229;
230;230;0;0;PROV230;
231;231;0;0;PROV231;
232;232;0;0;PROV232;
233;233;0;0;PROV233;
234;234;0;0;PROV234;
235;235;0;0;PROV235;
236;236;0;0;PROV236;
237;237;0;0;PROV237;
238;238;0;0;PROV238;
239;239;0;0;PROV239;
240;240;0;0;PROV240;
241;241;0;0;PROV241;
242;242;0;0;PROV242;
243;243;0;0;PROV243;
244;244;0;0;PROV244;
245;245;0;0;PROV245;
246;246;0;0;PROV246;
247;247;0;0;PROV247;
248;248;0;0;PROV248;
249;249;0;0;PROV249;
250;250;0;0;PROV250;
251;251;0;0;PROV251;
252;252;0;0;PROV252;
253;253;0;0;PROV253;
254;254;0;0;PROV254;
255;255;0;0;PROV255;
256;0;1;0;PROV256;
257;1;1;0;PROV257;
258;2;1;0;PROV258;
259;3;1;0;PROV259;
260;4;1;0;PROV260;
261;5;1;0;PROV261;
262;6;1;0;PROV262;
263;7;1;0;PROV263;
264;8;1;0;PROV264;
