province;x;y
132;5416.22;1360.47
133;6891.89;1112.13
134;5400.00;1900.33
135;4962.16;2019.10
136;6291.89;1641.20
137;4686.49;1479.24
138;6745.95;1759.97
139;5870.27;1295.68
140;5610.81;2526.58
141;4978.38;1392.86
142;6308.11;1360.47
143;5400.00;1630.40
144;6745.95;2029.90
145;5156.76;1220.10
146;6616.22;1047.34
147;4767.57;1738.37
148;5545.95;2137.87
149;11789.19;1824.75
150;11318.92;1684.39
151;12129.73;2008.31
152;12178.38;1716.78
153;11772.97;2062.29
154;11529.73;1608.80
155;12551.35;1598.01
156;13281.08;1587.21
157;940.54;2008.31
158;3567.57;2364.62
159;3745.95;2191.86
160;4313.51;1965.12
161;4443.24;2008.31
162;10135.14;1986.71
163;11043.24;2245.85
164;10962.16;2073.09
165;11027.03;1965.12
166;11286.49;2105.48
167;11464.86;2310.63
168;11481.08;2062.29
169;11643.24;2256.64
170;12129.73;2202.66
171;12729.73;1965.12
172;12486.49;2397.01
173;13037.84;1738.37
174;13005.41;2073.09
175;12437.84;2159.47
176;12518.92;1781.56
177;1800.00;2612.96
178;2205.41;2720.93
179;2497.30;2861.30
180;3713.51;2710.13
181;12097.30;2558.97
182;12372.97;2742.52
183;11902.70;2785.71
184;12194.59;2343.02
185;11740.54;2451.00
186;13102.70;2807.31
187;1070.27;2969.27
188;1264.86;2882.89
189;5383.78;3034.05
190;8400.00;3174.42
191;10637.84;3034.05
192;13491.89;3023.26
193;8108.11;3476.74
194;8205.41;3293.19
195;8335.14;3336.38
196;13443.24;3573.92
197;13508.11;3876.25
198;778.38;4005.81
199;1183.78;3951.83
200;2902.70;4038.21
201;6016.22;3930.23
202;7167.57;3897.84
203;7491.89;3800.66
204;6908.11;4038.21
205;7848.65;4005.81
206;8529.73;3876.25
207;14643.24;4038.21
208;1037.84;4113.79
209;6908.11;4405.32
210;7962.16;4340.53
211;6762.16;3865.45
212;6291.89;4189.37
213;7556.76;4416.11
214;6681.08;4610.47
215;7086.49;4599.67
216;6583.78;4081.40
217;6518.92;4372.92
218;7281.08;4210.96
219;13394.59;4491.69
220;13881.08;4297.34
221;13037.84;5236.71
222;14562.16;3617.11
223;13767.57;4923.59
224;13751.35;3638.70
225;14464.86;4102.99
226;13540.54;4653.65
227;13978.38;3865.45
228;13637.84;4016.61
229;13394.59;5085.55
230;14335.14;4362.13
231;13913.51;4642.86
232;14756.76;3800.66
233;14043.24;3573.92
234;13540.54;4340.53
235;14416.22;3779.07
236;14205.41;4124.58
237;6778.38;4912.79
238;7135.14;4783.22
239;7475.68;4675.25
240;8383.78;4837.21
241;8529.73;4696.84
242;14189.19;4653.65
243;6502.70;6316.45
244;11221.62;6478.41
245;2821.62;6435.22
246;8902.70;6456.81
247;4491.89;6435.22
248;7621.62;6262.46
249;10200.00;6424.42
250;3794.59;6003.32
251;5529.73;6240.86
252;3600.00;6402.82
253;10816.22;6197.67
254;7200.00;6392.03
255;8221.62;6435.22
256;9583.78;6456.81
257;5854.05;6392.03
258;5172.97;6392.03
259;7070.27;6176.08
260;6064.86;6176.08
261;10718.92;6413.62
262;3210.81;6370.43
263;8351.35;6284.05
264;3875.68;6305.65
